Gene_ID	WT1	WT2	WT3	DDX5KD1	DDX5KD2	DDX5KD3
ENSG00000006210	488	397	516	180	279	313
ENSG00000006282	423	412	623	399	581	675
ENSG00000006283	27	33	48	45	30	41
ENSG00000006327	19165	16901	22180	8820	13936	12385
ENSG00000006377	2053	1785	2870	1851	2290	2454
ENSG00000006432	2610	2491	3634	2885	3180	3386
ENSG00000006451	6885	5889	7888	5814	5782	5142
ENSG00000006453	1057	904	1655	2093	2241	2618
ENSG00000006459	2234	2075	2771	2945	2720	2320
ENSG00000006468	4422	3720	5486	3692	3484	2766
ENSG00000006530	7524	6956	9497	8034	8311	7199
ENSG00000006534	1448	1300	1967	708	1022	1089
ENSG00000006555	1	2	0	2	0	1
ENSG00000006576	16227	14426	19795	15650	14477	11974
ENSG00000006606	298	303	366	99	101	90
ENSG00000006607	7565	7074	10008	8539	9354	8680
ENSG00000006611	0	1	0	16	0	0
ENSG00000006625	2461	1888	2703	1362	1447	1025
ENSG00000006634	12163	10782	15010	11748	11097	8577
ENSG00000006638	45	51	87	88	196	238
ENSG00000006652	18723	17143	22795	17339	17041	14213
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	1864	1864	2531	2420	2555	2377
ENSG00000006704	3188	2737	4195	4252	5414	7474
ENSG00000006712	3329	2396	3889	3760	4650	4052
ENSG00000006715	11318	10387	13934	11035	10039	8737
ENSG00000006740	172	131	220	286	287	286
ENSG00000006744	5742	5314	7699	5685	6700	6249
ENSG00000006747	19	10	15	43	3	3
ENSG00000006756	0	0	0	6	0	0
ENSG00000006757	1	0	0	1	0	0
ENSG00000006788	1	2	1	34	0	0
ENSG00000006831	10177	9269	12681	9966	10013	8864
ENSG00000006837	0	0	0	0	0	0
ENSG00000007001	15	9	29	57	3	7
ENSG00000007038	0	0	0	7	0	0
ENSG00000007047	1873	1459	2310	2076	2954	3673
ENSG00000007062	1311	1191	1779	87	60	53
ENSG00000007080	3070	2097	3568	2408	4278	4044
ENSG00000007129	1	0	0	6	0	0
ENSG00000007168	12189	11813	16768	12476	12233	11467
ENSG00000007171	2	8	8	17	2	5
ENSG00000007174	9	3	7	69	5	6
ENSG00000007202	32588	29450	42998	35418	38995	38374
ENSG00000007216	1	0	1	13	0	3
ENSG00000007237	4	0	3	64	0	2
ENSG00000007255	519	491	614	131	175	204
ENSG00000007264	24	32	34	0	0	2
ENSG00000007306	0	0	0	13	0	0
ENSG00000007312	21	27	16	18	25	24
ENSG00000007314	4	4	3	8	0	1
ENSG00000007341	3898	3750	4970	3203	3376	2804
ENSG00000007350	156	166	219	178	156	136
ENSG00000007372	959	841	1335	856	983	957
ENSG00000007376	3398	3269	4400	2164	4213	4189
ENSG00000007384	400	364	519	525	735	875
ENSG00000007392	3505	3272	4558	4713	5216	5786
ENSG00000007402	20	13	29	64	49	70
ENSG00000007516	50	69	59	88	159	176
ENSG00000007520	2593	2144	3234	1879	2631	2587
ENSG00000007541	1449	1392	2027	1341	2131	2486
ENSG00000007545	528	397	626	740	965	1100
ENSG00000007866	723	675	1009	1375	1972	2179
ENSG00000007908	2	3	3	7	4	0
ENSG00000007923	6834	5918	9134	7363	8503	8784
ENSG00000007933	0	0	2	9	0	0
ENSG00000007944	2596	2377	3563	3536	3603	3316
ENSG00000007952	21	11	25	11	10	10
ENSG00000007968	5036	4464	6620	4441	5767	6229
ENSG00000008018	23420	19855	25403	20118	20667	16725
ENSG00000008056	7	8	9	15	6	8
ENSG00000008083	7447	7187	10059	12434	13601	14431
ENSG00000008086	7770	7806	10645	14288	14083	12920
ENSG00000008118	0	2	3	3	0	3
ENSG00000008128	4	6	18	3	5	8
ENSG00000008130	5601	4805	7175	3537	4543	4834
ENSG00000008196	0	0	0	8	0	0
ENSG00000008197	3	1	2	13	0	2
ENSG00000008226	10	5	10	33	10	14
ENSG00000008256	7462	6391	9592	5397	6305	6330
ENSG00000008277	7817	7286	9933	7037	7073	6150
ENSG00000008282	6707	5988	8303	6357	6255	4926
ENSG00000008283	3224	2827	4171	2896	3825	3911
ENSG00000008294	18150	16495	23074	20430	19281	17736
ENSG00000008300	606	545	797	533	704	990
ENSG00000008311	5770	5294	7136	5630	5575	4824
ENSG00000008323	15	7	26	25	23	34
ENSG00000008324	1373	1098	1490	892	877	778
ENSG00000008382	1619	1399	1897	1981	2616	2758
ENSG00000008394	64	48	53	192	66	27
ENSG00000008405	6687	6349	8472	6253	6596	5929
ENSG00000008438	0	0	0	2	0	0
ENSG00000008441	13616	12193	19568	19898	26989	36206
ENSG00000008513	89	85	127	132	135	131
ENSG00000008516	6	1	9	28	23	24
ENSG00000008517	1488	1112	1578	1380	1415	1712
ENSG00000008710	5123	4647	6915	4221	8963	11946
ENSG00000008735	964	864	1230	798	1231	1374
ENSG00000008838	1201	1176	1711	1072	1410	1500
ENSG00000008853	1860	1516	2317	1185	1560	1782
ENSG00000008869	4115	3726	5221	3539	3414	3052
ENSG00000008952	10875	8153	12522	8335	7913	6274
ENSG00000008988	43201	36807	48227	27875	27100	23620
ENSG00000009307	53086	46819	65987	55103	50549	42794
ENSG00000009335	24876	23592	33568	26882	27745	25463
ENSG00000009413	5191	4870	7005	5802	5369	4696
ENSG00000009694	11	10	19	100	8	5
ENSG00000009709	3	1	5	40	2	1
ENSG00000009724	12	20	30	23	19	19
ENSG00000009765	614	588	775	19	26	16
ENSG00000009780	1335	1272	1845	1182	1249	1184
ENSG00000009790	4	3	0	12	4	0
ENSG00000009830	4253	3865	5351	3353	4182	4372
ENSG00000009844	11387	9523	13103	9288	8633	6610
ENSG00000009950	8	7	13	17	20	26
ENSG00000009954	41847	36641	52780	41605	41114	40565
ENSG00000010017	8053	7341	10354	11129	10702	9360
ENSG00000010030	30	22	53	30	22	33
ENSG00000010072	2647	2398	3069	2769	2775	2219
ENSG00000010165	4881	4606	6004	4984	6023	5704
ENSG00000010219	279	282	361	373	398	359
ENSG00000010244	16138	14798	20544	15375	15756	12506
ENSG00000010256	17760	16252	21959	11075	14420	13422
ENSG00000010270	2429	2219	2842	1602	1508	1191
ENSG00000010278	8587	7025	9478	4813	5376	4473
ENSG00000010282	0	0	0	0	0	0
ENSG00000010292	22088	19520	29266	21222	24196	23931
ENSG00000010295	91	37	95	137	173	195
ENSG00000010310	1	3	5	10	8	6
ENSG00000010318	394	346	428	187	196	212
ENSG00000010319	46	25	81	97	189	159
ENSG00000010322	3496	3251	4722	3539	4602	5270
ENSG00000010327	8	10	14	18	12	12
ENSG00000010361	1513	1274	1732	1088	1596	1612
ENSG00000010379	19	17	26	23	16	11
ENSG00000010404	7712	7751	10926	4825	4683	4246
ENSG00000010438	13	12	8	8	1	2
ENSG00000010539	1296	1120	1625	1536	1478	1293
ENSG00000010610	35	19	42	40	45	44
ENSG00000010626	565	392	677	311	321	365
ENSG00000010671	49	39	52	23	12	11
ENSG00000010704	116	153	160	198	211	180
ENSG00000010803	6306	6380	8823	7349	7371	7200
ENSG00000010810	3407	2924	4372	5120	5313	4970
ENSG00000010818	72	42	88	87	54	53
ENSG00000010932	2	0	0	4	0	1
ENSG00000011007	9099	7576	11684	9650	9868	8951
ENSG00000011009	4889	4523	6348	3951	5670	5364
ENSG00000011021	2143	1831	2827	2240	2540	2918
ENSG00000011028	12858	11866	17395	8176	11478	13456
ENSG00000011052	51	83	98	63	74	92
ENSG00000011083	3	2	8	16	4	2
ENSG00000011105	6006	5601	8101	12504	16324	18607
ENSG00000011114	11471	10874	15744	12942	12953	11471
ENSG00000011132	2040	1905	2631	1660	2444	2543
ENSG00000011143	1801	1565	2361	1425	1622	1585
ENSG00000011198	4365	3906	5250	3439	3244	2634
ENSG00000011201	1	0	0	19	0	1
ENSG00000011243	5406	5052	7238	6670	8491	9280
ENSG00000011258	5544	5153	7075	5620	5755	5002
ENSG00000011260	11297	9394	12933	8371	8306	7082
ENSG00000011275	8021	7725	11284	8158	9138	9282
ENSG00000011295	4397	3854	5245	3635	3611	3199
ENSG00000011304	27700	23656	36824	24535	36331	37960
ENSG00000011332	585	433	735	396	589	675
ENSG00000011347	34	32	60	89	76	96
ENSG00000011376	3159	3078	4335	4587	4856	4806
ENSG00000011405	15387	13681	18550	15933	14402	11853
ENSG00000011422	391	390	476	407	410	528
ENSG00000011426	36988	32471	42283	28287	25124	21060
ENSG00000011451	3276	2868	4506	4294	7034	8750
ENSG00000011454	7934	7751	10263	10055	9652	8959
ENSG00000011465	8	8	18	12	9	4
ENSG00000011478	1032	879	1307	1369	1745	1730
ENSG00000011485	6919	5758	8853	6781	8218	8384
ENSG00000011523	1965	1771	2480	1570	1819	1864
ENSG00000011566	7323	6954	9160	8050	7615	6411
ENSG00000011590	1	0	0	3	1	1
ENSG00000011600	0	0	0	6	1	5
ENSG00000011638	195	194	236	159	152	152
ENSG00000011677	2127	2074	2737	2053	1981	1825
ENSG00000012048	10150	9013	12298	8964	7927	7335
ENSG00000012061	5280	4987	6731	4572	5808	5378
ENSG00000012124	2	0	6	15	11	6
ENSG00000012171	206	163	252	91	155	188
ENSG00000012174	5420	5212	6796	6542	6109	5090
ENSG00000012211	46	59	64	33	55	47
ENSG00000012223	2	0	0	14	0	0
ENSG00000012232	8193	7237	11670	9000	10865	11409
ENSG00000012504	5	1	2	15	0	1
ENSG00000012660	15405	13663	20283	17511	18151	14613
ENSG00000012779	6	4	11	21	4	4
ENSG00000012817	1	0	0	1	0	0
ENSG00000012822	366	346	499	263	304	351
ENSG00000012963	6646	5918	8501	5847	5853	5066
ENSG00000012983	14381	12607	17968	16240	15843	13311
ENSG00000013016	38	44	45	38	33	26
ENSG00000013275	7762	6876	10029	8689	9844	9196
ENSG00000013288	1612	1480	2189	2058	2630	3135
ENSG00000013293	24	35	35	73	35	35
ENSG00000013297	0	0	0	0	0	0
ENSG00000013306	5495	4672	6551	3386	4695	4698
ENSG00000013364	952	832	1171	1111	1465	1527
ENSG00000013374	6928	6006	8504	5968	6156	5549
ENSG00000013375	12588	11251	14531	10614	9559	7492
ENSG00000013392	841	704	933	650	665	584
ENSG00000013441	2108	1812	2509	1831	1827	1437
ENSG00000013503	5567	4976	7168	6872	6969	5987
ENSG00000013523	1937	1894	2647	2083	2193	2203
ENSG00000013561	3543	3282	4471	3030	2688	2341
ENSG00000013563	945	914	1219	490	619	581
ENSG00000013573	19528	18298	24748	16385	19978	22101
ENSG00000013583	527	512	641	457	538	575
ENSG00000013588	226	170	340	554	570	636
ENSG00000013619	2829	2771	3694	1205	1302	1440
ENSG00000013725	2	0	6	17	2	3
ENSG00000013810	6691	5940	8573	5949	7481	8757
ENSG00000014123	4554	3825	5190	3596	3495	2588
ENSG00000014138	4178	3951	5269	3777	4177	4507
ENSG00000014164	1375	1335	1870	1642	2497	3518
ENSG00000014216	4556	3941	6107	4411	6168	6264
ENSG00000014257	1	0	4	11	0	0
ENSG00000014641	10851	9008	11523	6747	6191	4865
ENSG00000014824	12397	10738	13799	8366	7823	6198
ENSG00000014914	704	713	964	804	881	930
ENSG00000014919	2598	2464	3409	2463	2560	2222
ENSG00000015133	5472	4909	7191	6265	8398	9168
ENSG00000015153	2934	2765	3936	3130	2931	2729
ENSG00000015171	9686	8623	12393	10728	10425	8780
ENSG00000015285	69	54	92	75	60	62
ENSG00000015413	6	5	3	35	36	43
ENSG00000015475	3890	3444	4432	2977	3384	3312
ENSG00000015479	0	2	0	0	2	1
ENSG00000015520	11	19	12	23	18	17
ENSG00000015532	2374	1961	3192	1664	2407	2589
ENSG00000015568	238	135	254	100	78	135
ENSG00000015592	0	1	7	5	8	6
ENSG00000015676	8845	8458	11495	9240	10179	10308
ENSG00000016082	2	2	3	0	0	0
ENSG00000016391	1057	989	1328	1354	1687	1595
ENSG00000016402	7	1	2	20	8	14
ENSG00000016490	0	0	0	8	0	0
ENSG00000016602	0	0	0	8	0	0
ENSG00000016864	3360	2836	4005	2977	3017	2650
ENSG00000017260	10579	9270	12644	12016	11270	9646
ENSG00000017427	6383	6015	8583	6586	6708	5380
ENSG00000017483	1207	1116	1508	1321	1528	1486
ENSG00000017797	4485	3920	5916	5249	5306	5044
ENSG00000018189	3899	3747	5219	5677	5301	5339
ENSG00000018236	130	110	171	89	12	8
ENSG00000018280	27	41	29	23	26	14
ENSG00000018408	14437	13267	19566	15525	16098	14969
ENSG00000018510	12772	10944	15061	7918	7226	5713
ENSG00000018607	0	0	0	2	0	0
ENSG00000018610	3271	2710	3533	1591	1429	1278
ENSG00000018625	6	4	8	18	10	14
ENSG00000018699	2773	2415	3472	1540	1443	1339
ENSG00000018869	206	211	267	348	363	295
ENSG00000019102	19	6	14	2	4	7
ENSG00000019144	7553	6595	9936	3927	5505	5867
ENSG00000019169	0	0	0	20	0	1
ENSG00000019186	1	0	0	2	0	0
ENSG00000019485	2137	2176	2795	2194	2617	2858
ENSG00000019505	8	5	12	13	2	5
ENSG00000019549	0	0	2	0	1	0
ENSG00000019582	15	8	30	11	10	8
ENSG00000019991	124	122	164	130	114	68
ENSG00000019995	1887	1796	2436	1842	1858	1648
ENSG00000020129	1578	1422	2198	2011	3070	3356
ENSG00000020181	1753	1495	2139	1792	2562	2947
ENSG00000020219	1	1	0	0	3	6
ENSG00000020256	1645	1673	2284	2421	2942	3128
ENSG00000020426	4352	4180	5084	5154	4593	4233
ENSG00000020577	480	378	632	234	235	225
ENSG00000020633	21	10	10	27	16	15
ENSG00000020922	7446	6905	8806	7382	6744	5734
ENSG00000021300	182	121	194	132	165	163
ENSG00000021355	574	485	757	631	626	527
ENSG00000021461	2	0	1	5	1	0
ENSG00000021488	18	25	22	23	13	30
ENSG00000021574	7618	7239	9744	5407	5060	4261
ENSG00000021645	15408	15770	20339	14188	12871	12166
ENSG00000021762	785	692	1010	1919	2499	3345
ENSG00000021776	8087	7409	10178	8276	7742	6411
ENSG00000021826	1384	1357	1820	340	314	246
ENSG00000021852	0	0	0	10	0	0
ENSG00000022267	10136	9124	12984	7628	8218	7403
ENSG00000022277	3622	2866	4196	4389	4760	4537
ENSG00000022355	0	0	0	16	0	1
ENSG00000022556	3	1	0	19	1	2
ENSG00000022567	824	824	1192	1550	1999	2213
ENSG00000022840	9368	8282	12320	9767	10805	11527
ENSG00000022976	1304	1253	1787	1485	1735	1809
ENSG00000023041	3651	3226	4370	3545	3376	2782
ENSG00000023171	19	16	40	86	6	7
ENSG00000023191	16312	15186	20733	16363	24509	24279
ENSG00000023228	13470	12370	17287	12187	11435	10251
ENSG00000023287	10106	9231	11824	9598	8041	6816
ENSG00000023318	4901	4348	6149	5537	5257	4735
ENSG00000023330	3752	3476	4890	3547	3762	3480
ENSG00000023445	1429	1187	1552	613	556	402
ENSG00000023516	9878	9725	12480	11964	11015	9310
