Gene_ID	H69ARSUP1	H69ARSUP2	H69ARSUP3	H69ARWT1	H69ARWT2	H69ARWT3
ENSG00000006451	2815	2732	2665	2754	2982	2932
ENSG00000006453	298	360	273	110	125	92
ENSG00000006459	1038	845	963	236	423	364
ENSG00000006468	1739	1476	1463	573	685	717
ENSG00000006530	1379	1360	1365	972	1479	1142
ENSG00000006534	351	386	363	773	755	520
ENSG00000006555	0	0	0	0	0	0
ENSG00000006576	5390	4624	4847	3089	4064	3657
ENSG00000006606	90	81	59	152	61	62
ENSG00000006607	3436	3262	3306	1570	2277	1702
ENSG00000006611	0	1	0	0	0	0
ENSG00000006625	851	777	786	1519	1106	1356
ENSG00000006634	4791	4205	4419	2589	3047	3129
ENSG00000006638	82	80	93	193	160	81
ENSG00000006652	166	129	114	146	169	160
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	694	682	584	522	569	525
ENSG00000006704	2142	2265	2091	1954	1995	1547
ENSG00000006712	2388	2523	2372	2864	2390	2245
ENSG00000006715	2879	2751	2518	1908	2415	2482
ENSG00000006740	54	50	49	99	53	80
ENSG00000006744	4135	4573	4341	4958	4743	3679
ENSG00000006747	3	1	1	3	1	2
ENSG00000006756	2	0	0	0	0	0
ENSG00000006757	0	0	0	0	0	0
ENSG00000006788	4	2	5	4	3	1
ENSG00000006831	5070	5080	4675	3380	4218	3308
ENSG00000006837	0	0	0	0	0	0
ENSG00000007001	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	1	1
ENSG00000007047	1787	1745	1641	2135	1713	1334
ENSG00000007062	42	49	25	131	205	174
ENSG00000007080	4679	4851	4526	14309	6261	5994
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	4605	4579	4463	2772	3131	2873
ENSG00000007171	1	3	2	6	2	5
ENSG00000007174	11	12	4	4	2	4
ENSG00000007202	8463	8213	8221	2935	4962	3235
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	1	0	0	4	2	1
ENSG00000007255	0	0	0	0	0	0
ENSG00000007264	23	12	12	131	49	47
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0
ENSG00000007314	0	2	0	0	0	0
ENSG00000007341	1161	1152	1079	882	921	930
ENSG00000007350	133	145	144	286	210	204
ENSG00000007372	858	791	780	368	488	355
ENSG00000007376	2949	2919	2802	7424	4615	3214
ENSG00000007384	552	540	524	597	561	343
ENSG00000007392	3217	3239	2756	3478	2749	2783
ENSG00000007402	6	4	5	8	9	6
ENSG00000007516	163	193	141	162	153	95
ENSG00000007520	2467	2458	2395	5939	3388	3022
ENSG00000007541	2269	2345	2070	5410	2718	2264
ENSG00000007545	262	218	246	79	96	62
ENSG00000007866	1003	1067	927	653	754	409
ENSG00000007908	0	0	0	0	0	0
ENSG00000007923	3338	3557	3017	1836	2403	1753
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	911	911	971	388	616	445
ENSG00000007952	15	12	23	22	13	32
ENSG00000007968	2709	2830	2588	3553	3326	2436
ENSG00000008018	9422	10103	9364	16425	10643	12106
ENSG00000008056	6	1	3	1	1	2
ENSG00000008083	3336	3077	3218	907	1577	1355
ENSG00000008086	3296	2887	2829	597	880	825
ENSG00000008118	0	3	1	0	0	0
ENSG00000008128	133	150	81	254	134	114
ENSG00000008130	5503	5561	5268	6998	7111	4692
ENSG00000008196	2	0	0	4	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	1	0	1	1	3	0
ENSG00000008256	5060	5242	5010	2845	3583	2719
ENSG00000008277	1582	1427	1440	971	1400	1471
ENSG00000008282	3528	3282	3478	3548	3325	2899
ENSG00000008283	2105	2239	1858	2143	2209	1481
ENSG00000008294	7067	6399	6711	3542	5152	4206
ENSG00000008300	735	801	641	249	320	165
ENSG00000008311	2071	2091	2018	766	1252	1129
ENSG00000008323	10	24	16	9	12	10
ENSG00000008324	0	0	0	0	0	0
ENSG00000008382	938	914	806	2537	1098	1066
ENSG00000008394	22	26	17	8	10	9
ENSG00000008405	3680	3519	3457	2949	4029	3352
ENSG00000008438	5	1	5	1	1	4
ENSG00000008441	23669	24462	25568	15018	21260	12349
ENSG00000008513	30	26	23	30	28	16
ENSG00000008516	4	2	3	3	4	2
ENSG00000008517	303	320	294	1946	842	805
ENSG00000008710	8744	9529	9104	2543	3106	1350
ENSG00000008735	1024	1167	995	1964	1445	843
ENSG00000008838	1310	1472	1447	1763	1423	989
ENSG00000008853	142	143	102	278	175	180
ENSG00000008869	1198	1122	1107	453	884	680
ENSG00000008952	3645	3383	3615	2658	3388	2974
ENSG00000008988	12297	12555	12075	30229	18169	21340
ENSG00000009307	20048	20387	19724	13328	18085	17302
ENSG00000009335	11171	10878	10417	6523	9140	6878
ENSG00000009413	38	22	42	6	15	42
ENSG00000009694	1	1	1	1	2	1
ENSG00000009709	7	0	2	0	2	2
ENSG00000009724	37	36	30	36	11	24
ENSG00000009765	25	17	29	42	45	69
ENSG00000009780	623	580	590	529	534	530
ENSG00000009790	9	8	13	5	6	1
ENSG00000009830	3866	3901	3742	2703	2680	2011
ENSG00000009844	3187	2822	3019	3233	3651	3499
ENSG00000009950	12	11	11	24	19	12
ENSG00000009954	19116	19028	18655	9117	12893	11188
ENSG00000010017	3027	2454	2685	1272	2304	1584
ENSG00000010030	204	187	230	228	371	284
ENSG00000010072	1162	964	1070	797	1014	760
ENSG00000010165	3202	3436	3246	4161	3688	3016
ENSG00000010219	303	293	264	124	172	144
ENSG00000010244	10108	9068	8608	8754	9368	8599
ENSG00000010256	8230	8763	8485	28471	14037	12759
ENSG00000010270	668	633	651	673	855	751
ENSG00000010278	6843	6812	6842	9216	8273	6638
ENSG00000010282	0	0	0	0	0	0
ENSG00000010292	20590	21223	20697	12051	13183	10289
ENSG00000010295	100	119	131	68	34	32
ENSG00000010310	6	5	2	8	10	2
ENSG00000010318	293	349	263	224	307	217
ENSG00000010319	33	35	34	11	35	19
ENSG00000010322	3664	4109	3636	2860	2931	1987
ENSG00000010327	15	27	23	9	31	27
ENSG00000010361	1009	1091	975	2613	1621	1248
ENSG00000010379	16	13	12	6	4	5
ENSG00000010404	0	0	0	0	0	0
ENSG00000010438	2	2	1	1	0	0
ENSG00000010539	217	202	208	141	168	154
ENSG00000010610	39	26	45	52	50	29
ENSG00000010626	248	272	254	423	312	289
ENSG00000010671	15	15	12	20	25	27
ENSG00000010704	143	184	129	48	61	46
ENSG00000010803	1388	1394	1401	832	1010	980
ENSG00000010810	2085	2154	2090	1111	1241	1099
ENSG00000010818	2	5	5	0	6	4
ENSG00000010932	0	1	2	2	2	3
ENSG00000011007	0	0	0	0	0	0
ENSG00000011009	4005	3970	4107	9242	5343	4274
ENSG00000011021	2423	2580	2178	968	1125	753
ENSG00000011028	10023	10639	10633	10198	8653	5811
ENSG00000011052	117	143	131	127	88	83
ENSG00000011083	0	0	0	5	1	0
ENSG00000011105	2474	2576	2273	1297	1442	803
ENSG00000011114	5392	4920	4812	1406	2036	1945
ENSG00000011132	1346	1347	1126	3730	2048	1605
ENSG00000011143	1353	1510	1397	1974	1588	1302
ENSG00000011198	1275	1239	1018	1004	1160	1178
ENSG00000011201	0	0	0	2	0	0
ENSG00000011243	3198	3269	3001	2933	2617	2298
ENSG00000011258	1895	1590	1783	1148	1558	1511
ENSG00000011260	4866	4676	4663	7008	7159	6782
ENSG00000011275	3606	3651	3451	3925	3676	3220
ENSG00000011295	2198	2028	1975	1751	1434	1775
ENSG00000011304	38336	39907	38050	38150	36253	24749
ENSG00000011332	668	703	687	1688	1092	834
ENSG00000011347	42	29	37	36	25	31
ENSG00000011376	1095	1192	1150	395	387	380
ENSG00000011405	3491	3133	3165	1184	1735	1780
ENSG00000011422	251	245	262	522	487	321
ENSG00000011426	13286	12175	11861	5057	7586	6451
ENSG00000011451	7258	7385	7428	6112	6783	4510
ENSG00000011454	3274	3363	3336	1354	2063	1745
ENSG00000011465	5	5	4	14	2	2
ENSG00000011478	1293	1318	1315	3923	2601	1624
ENSG00000011485	4681	4924	4601	7667	6552	4891
ENSG00000011523	121	141	121	123	107	77
ENSG00000011566	1772	1631	1518	936	1299	1450
ENSG00000011590	27	24	24	14	8	14
ENSG00000011600	0	0	0	2	0	1
ENSG00000011638	62	56	82	249	183	196
ENSG00000011677	288	227	233	125	244	178
ENSG00000012048	2737	2650	2498	1811	2555	2531
ENSG00000012061	2001	2072	1834	5036	3389	2586
ENSG00000012124	0	0	0	7	0	2
ENSG00000012171	156	127	149	585	373	301
ENSG00000012174	2511	2309	2235	1409	1719	1547
ENSG00000012211	52	66	63	107	105	30
ENSG00000012223	0	0	0	0	0	0
ENSG00000012232	6774	6731	6558	3603	3811	2453
ENSG00000012504	4	0	0	0	2	0
ENSG00000012660	9233	8585	8888	5345	6700	5413
ENSG00000012779	1	3	3	3	2	2
ENSG00000012817	0	0	0	0	0	0
ENSG00000012822	324	397	384	179	311	158
ENSG00000012963	3461	3531	3284	3231	3706	3217
ENSG00000012983	5283	4759	4409	1916	2688	2564
ENSG00000013016	14	25	13	11	26	14
ENSG00000013275	5216	5578	5164	8598	7489	6684
ENSG00000013288	1201	1327	1252	829	935	647
ENSG00000013293	0	0	0	0	0	0
ENSG00000013297	0	0	0	0	0	0
ENSG00000013306	4597	4567	4427	13701	8037	5939
ENSG00000013364	373	420	285	649	402	315
ENSG00000013374	2280	2317	2114	2167	2269	2201
ENSG00000013375	1432	1377	1286	869	1369	1112
ENSG00000013392	316	319	297	374	439	419
ENSG00000013441	1233	1118	1083	592	739	685
ENSG00000013503	960	881	924	492	881	708
ENSG00000013523	1189	1276	1121	781	1040	604
ENSG00000013561	588	510	494	598	528	582
ENSG00000013563	60	30	55	60	86	49
ENSG00000013573	15285	16762	14486	16159	14138	10725
ENSG00000013583	281	312	295	514	394	456
ENSG00000013588	358	317	300	76	66	81
ENSG00000013619	1013	980	895	387	609	480
ENSG00000013725	4	7	9	3	1	7
ENSG00000013810	10569	10744	10365	10807	6272	6216
ENSG00000014123	1187	1068	1061	653	953	761
ENSG00000014138	0	0	0	0	0	0
ENSG00000014164	1451	1606	1525	1944	1339	997
ENSG00000014216	4576	4500	4489	7966	6117	4297
ENSG00000014257	0	0	0	0	3	4
ENSG00000014641	0	0	0	0	0	0
ENSG00000014824	2877	2678	2711	2194	2852	2847
ENSG00000014914	702	741	641	245	325	212
ENSG00000014919	0	0	0	0	0	0
ENSG00000015133	3767	3561	3517	1476	1825	1477
ENSG00000015153	839	746	707	899	949	962
ENSG00000015171	3731	3333	3312	1736	2514	2239
ENSG00000015285	56	51	37	55	72	44
ENSG00000015413	2	3	6	0	3	2
ENSG00000015475	1358	1433	1270	4151	2771	2387
ENSG00000015479	0	0	0	0	0	0
ENSG00000015520	7	10	5	25	25	23
ENSG00000015532	1503	1695	1555	1729	1422	1036
ENSG00000015568	0	0	1	1	0	0
ENSG00000015592	0	1	4	1	0	4
ENSG00000015676	3862	3953	3793	5029	5004	3540
ENSG00000016082	0	0	0	0	4	0
ENSG00000016391	519	509	468	308	405	263
ENSG00000016402	4	1	1	2	2	2
ENSG00000016490	0	0	0	0	0	0
ENSG00000016602	2	0	0	0	0	0
ENSG00000016864	1655	1696	1692	1890	1900	1684
